timestamp_us,voltage,classification
0,1.763625,N
2065,1.763625,N
4166,1.696375,N
6270,1.618125,N
8373,1.618125,N
10484,1.597500,N
12593,1.647625,N
14700,1.730875,N
16801,1.786625,N
18907,1.761125,N
21011,1.682375,N
23114,1.682375,N
25217,1.616500,N
27326,1.626750,N
29432,1.697750,N
31536,1.783875,N
33639,1.820875,N
35744,1.781625,N
37850,1.781625,N
39955,1.695875,N
42056,1.620500,N
44167,1.616375,N
46268,1.676875,N
48381,1.765000,N
50479,1.794625,N
52585,1.794625,N
54689,1.746875,N
56792,1.673375,N
58899,1.638000,N
61004,1.679750,N
63137,1.759750,N
65217,1.837625,N
67322,1.837625,N
69428,1.849250,N
71532,1.785875,N
73636,1.691625,N
75741,1.655500,N
77840,1.708375,N
79952,1.708375,N
82056,1.805875,N
84162,1.880500,N
86266,1.873125,N
88374,1.803500,N
90474,1.728125,N
92656,1.719500,N
94829,1.783000,N
96945,1.783000,N
99048,1.874125,N
101153,1.937375,N
103258,1.919250,N
105362,1.843125,N
107465,1.769875,N
109575,1.765125,N
111677,1.765125,N
113784,1.828250,N
115888,1.929500,N
117992,1.992875,N
120101,1.972375,N
122202,1.893750,N
124306,1.893750,N
126411,1.836250,N
128517,1.856750,N
130621,1.931375,N
132727,2.015750,N
134836,2.040000,N
136932,1.988000,N
139033,1.988000,N
141149,1.906250,N
143252,1.861375,N
145360,1.883500,N
147460,1.961000,N
149568,2.051750,N
151674,2.077375,N
153779,2.077375,N
155884,2.030500,N
157989,1.952000,N
160098,1.929625,N
162199,1.986625,N
164302,2.077500,N
166400,2.141875,N
168505,2.141875,N
170609,2.112625,N
172723,2.017250,N
174833,1.913625,N
176935,1.881375,N
179039,1.920375,N
181145,1.986000,N
183249,1.986000,N
185357,2.007000,N
187457,1.932500,N
189562,1.817000,N
191668,1.725750,N
193835,1.713625,N
195795,1.769625,N
197901,1.769625,N
200008,1.841125,N
202109,1.856875,N
204216,1.789375,N
206319,1.684625,N
208426,1.607750,N
210530,1.614875,N
212636,1.614875,N
214741,1.679125,N
216846,1.745500,N
218949,1.742875,N
221055,1.671125,N
223159,1.572375,N
225265,1.515750,N
227368,1.515750,N
229475,1.536750,N
231612,1.610250,N
233686,1.677125,N
235790,1.668125,N
237896,1.595500,N
239998,1.510625,N
242105,1.510625,N
244211,1.490750,N
246314,1.549875,N
248420,1.640000,N
250526,1.693750,N
252630,1.662125,N
254735,1.577375,N
256839,1.577375,N
258945,1.503875,N
261049,1.506375,N
263155,1.570500,N
265261,1.658875,N
267364,1.698875,N
269470,1.655500,N
271574,1.655500,N
273681,1.572500,N
275784,1.512375,N
277890,1.529000,N
279995,1.601000,N
282099,1.684000,N
284205,1.684000,N
286309,1.703750,N
288415,1.646625,N
290520,1.554375,N
292626,1.505125,N
294777,1.537250,N
296919,1.618500,N
299026,1.699000,N
301129,1.699000,N
303234,1.703000,N
305340,1.626750,N
307443,1.534500,N
309550,1.504750,N
311660,1.550875,N
313766,1.550875,N
315863,1.631750,N
317968,1.695000,N
320073,1.678125,N
322179,1.600750,N
324284,1.520375,N
326387,1.508500,N
328490,1.508500,N
330590,1.564625,N
332703,1.647750,N
334808,1.690750,N
336911,1.651500,N
339014,1.570625,N
341123,1.512250,N
343234,1.512250,N
345336,1.522125,N
347437,1.582125,N
349541,1.663125,N
351650,1.687250,N
353742,1.630625,N
355857,1.542375,N
357963,1.542375,N
360068,1.493000,N
362173,1.527000,N
364280,1.608250,N
366383,1.684625,N
368486,1.695750,N
370589,1.643125,N
372693,1.643125,N
374802,1.575250,N
376906,1.557750,N
379010,1.609250,N
