timestamp_us,voltage,classification
0,1.909250,N
2056,1.972250,N
4157,1.947625,N
6261,1.869000,N
8364,1.808000,N
10469,1.808000,N
12585,1.836625,N
14689,1.925500,N
16790,2.006125,N
18890,2.027000,N
21004,1.961500,N
23239,1.866875,N
25316,1.819750,N
27170,1.819750,N
29354,1.869375,N
31378,1.950750,N
33485,1.982250,N
35600,1.984875,N
37691,1.923875,N
39795,1.923875,N
41899,1.842750,N
44004,1.816625,N
46108,1.882375,N
48212,1.984250,N
50323,2.057625,N
52422,2.035500,N
54525,2.035500,N
56636,1.930875,N
58744,1.820875,N
60847,1.783125,N
62951,1.826000,N
65052,1.886000,N
67156,1.915625,N
69265,1.915625,N
71374,1.859125,N
73475,1.746000,N
75579,1.653875,N
77683,1.653125,N
79790,1.716250,N
81893,1.771500,N
84001,1.771500,N
86105,1.770625,N
88215,1.680125,N
90314,1.556625,N
92420,1.483625,N
94524,1.508500,N
96633,1.588125,N
98736,1.588125,N
100839,1.661625,N
102946,1.670875,N
105049,1.586875,N
107154,1.469250,N
109259,1.415500,N
111365,1.415500,N
113470,1.468250,N
115574,1.560625,N
117678,1.627625,N
119787,1.617000,N
121891,1.531500,N
123996,1.443750,N
126164,1.443750,N
128357,1.422750,N
130460,1.486625,N
132566,1.571250,N
134676,1.628000,N
136777,1.605625,N
138880,1.520625,N
140989,1.520625,N
143090,1.443375,N
145194,1.445875,N
147305,1.528250,N
149403,1.623625,N
151514,1.672500,N
153616,1.622125,N
155720,1.622125,N
157826,1.519625,N
159935,1.447500,N
162037,1.465500,N
164145,1.543375,N
166251,1.626125,N
168350,1.659375,N
170454,1.659375,N
172562,1.603875,N
174669,1.507125,N
176772,1.449875,N
178876,1.487750,N
180979,1.571875,N
183086,1.641625,N
185197,1.641625,N
187300,1.639375,N
189398,1.552250,N
191509,1.447875,N
193611,1.414875,N
195715,1.479750,N
197835,1.579875,N
199931,1.579875,N
202032,1.662250,N
204139,1.658375,N
206242,1.571250,N
208343,1.474000,N
210448,1.450750,N
212560,1.511625,N
214663,1.511625,N
216768,1.597750,N
218870,1.656000,N
220975,1.620125,N
223080,1.520875,N
225191,1.447750,N
227326,1.466750,N
229394,1.466750,N
231501,1.559375,N
233604,1.649250,N
235715,1.680125,N
237814,1.610500,N
239919,1.491375,N
242024,1.408750,N
244131,1.408750,N
246234,1.427000,N
248339,1.512000,N
250443,1.596625,N
252554,1.616250,N
254654,1.541375,N
256758,1.429750,N
258863,1.429750,N
260967,1.362250,N
263075,1.412500,N
265176,1.515250,N
267283,1.602125,N
269388,1.612375,N
271494,1.540750,N
273598,1.540750,N
275702,1.461250,N
277812,1.450500,N
279914,1.521500,N
282016,1.609250,N
284127,1.664750,N
286231,1.664750,N
288334,1.633625,N
290438,1.539750,N
292542,1.463625,N
294647,1.480500,N
296754,1.578625,N
298857,1.689875,N
300960,1.689875,N
303065,1.751875,N
305176,1.709250,N
307279,1.604125,N
309386,1.523125,N
311495,1.544125,N
313595,1.639500,N
315699,1.639500,N
317802,1.738125,N
319908,1.782500,N
322019,1.740125,N
324121,1.663250,N
326224,1.629875,N
328791,1.681875,N
330441,1.681875,N
332556,1.759375,N
334664,1.809875,N
337370,1.787500,N
338871,1.685500,N
340960,1.563875,N
343058,1.509000,N
345165,1.509000,N
347277,1.548125,N
349381,1.620000,N
351487,1.676625,N
353587,1.655375,N
355689,1.559250,N
357794,1.458750,N
359905,1.458750,N
362011,1.439500,N
364120,1.503375,N
366222,1.574500,N
368326,1.610750,N
370431,1.562750,N
372533,1.460625,N
374641,1.460625,N
376749,1.381375,N
378850,1.399625,N
380958,1.487000,N
383061,1.575375,N
385167,1.613375,N
387273,1.557750,N
389371,1.557750,N
391484,1.458875,N
393584,1.403625,N
395691,1.446750,N
397793,1.535500,N
399901,1.601750,N
402005,1.595750,N
404190,1.595750,N
406219,1.499500,N
408324,1.379250,N
410430,1.321625,N
412535,1.370125,N
414640,1.464625,N
416748,1.541000,N
418849,1.541000,N
420956,1.538375,N
423060,1.454375,N
425163,1.365625,N
427277,1.359125,N
429335,1.439875,N
431396,1.439875,N
433500,1.536375,N
435606,1.601000,N
437712,1.576250,N
439818,1.482500,N
441921,1.397375,N
444028,1.405250,N
446132,1.405250,N
448234,1.495750,N
450340,1.588250,N
452445,1.626500,N
454552,1.566375,N
456655,1.453000,N
458759,1.362000,N
460866,1.362000,N
462971,1.368250,N
465076,1.450000,N
467180,1.540500,N
469285,1.581125,N
471391,1.545875,N
473495,1.498125,N
475601,1.498125,N
477705,1.518500,N
479811,1.667500,N
481915,1.910500,N
484022,2.172875,N
486125,2.361000,N
488235,2.431375,N
490336,2.431375,N
492440,2.382625,N
494547,2.245375,N
496650,2.082750,N
498755,1.904125,N
500860,1.710875,N
502974,1.468625,N
505069,1.468625,N
507175,1.202750,N
509282,0.981125,N
511386,0.878875,N
513492,0.900500,N
515595,0.976750,N
517700,1.053750,N
519805,1.053750,N
521909,1.061125,N
524016,1.024000,N
526121,1.006125,N
528285,1.086625,N
530414,1.260500,N
532520,1.420625,N
534627,1.420625,N
536731,1.508375,N
538838,1.494375,N
540939,1.429750,N
543043,1.394125,N
545149,1.440500,N
547260,1.534500,N
549346,1.534500,N
551460,1.616500,N
553572,1.628500,N
555672,1.556125,N
557778,1.460125,N
559883,1.426125,N
561987,1.487375,N
564100,1.487375,N
566198,1.581750,N
568301,1.660625,N
570407,1.665625,N
572514,1.584625,N
574619,1.491625,N
576722,1.471375,N
578830,1.471375,N
580932,1.540875,N
583036,1.630625,N
585143,1.684000,N
587249,1.646125,N
589356,1.546125,N
591457,1.546125,N
593562,1.462625,N
595667,1.474375,N
597772,1.563125,N
599878,1.661875,N
601983,1.722250,N
604096,1.685375,N
606193,1.685375,N
608296,1.587250,N
610409,1.511875,N
612508,1.527875,N
614619,1.605250,N
616718,1.681750,N
618821,1.702250,N
620927,1.702250,N
623038,1.640750,N
625137,1.547875,N
627247,1.508000,N
629427,1.569750,N
631368,1.674125,N
633474,1.758375,N
635579,1.758375,N
637683,1.761625,N
639798,1.683125,N
641894,1.577750,N
644001,1.530750,N
646104,1.582375,N
648209,1.672625,N
650313,1.672625,N
652422,1.747750,N
654530,1.745875,N
656631,1.671500,N
658736,1.585875,N
660839,1.576000,N
662948,1.652000,N
665059,1.652000,N
667156,1.746625,N
669260,1.807000,N
671367,1.776250,N
673471,1.692250,N
675578,1.634000,N
677680,1.661375,N
679786,1.661375,N
681891,1.748250,N
683998,1.837250,N
686101,1.879500,N
688203,1.828625,N
690311,1.736625,N
692415,1.685625,N
694522,1.685625,N
696626,1.733000,N
698730,1.832375,N
700840,1.918250,N
702944,1.935875,N
705046,1.864750,N
707151,1.770000,N
709256,1.770000,N
711361,1.739500,N
713466,1.806875,N
715578,1.902750,N
717676,1.971625,N
719780,1.958375,N
721879,1.958375,N
724045,1.870625,N
726102,1.781625,N
728207,1.774250,N
730367,1.852250,N
732494,1.948125,N
734588,2.007375,N
736707,2.007375,N
738806,1.974125,N
740912,1.876250,N
743016,1.791625,N
745121,1.783375,N
747236,1.831250,N
749330,1.874625,N
751438,1.874625,N
753541,1.875750,N
755645,1.791625,N
757749,1.668250,N
759855,1.583625,N
761961,1.594750,N
764072,1.665000,N
766170,1.665000,N
768274,1.728125,N
770382,1.729625,N
772483,1.644500,N
774589,1.532250,N
776695,1.472375,N
778802,1.502000,N
780906,1.502000,N
783007,1.573625,N
785113,1.631125,N
787223,1.616000,N
789327,1.524750,N
791431,1.424875,N
793532,1.404625,N
795638,1.404625,N
797743,1.482375,N
799862,1.581625,N
801956,1.648000,N
804068,1.621125,N
806163,1.514000,N
808266,1.412000,N
810374,1.412000,N
812478,1.396250,N
814587,1.467375,N
816691,1.549750,N
818791,1.597125,N
820899,1.563750,N
823011,1.478500,N
825108,1.478500,N
827251,1.412125,N
829324,1.435125,N
831459,1.519125,N
833526,1.600375,N
835634,1.628625,N
837739,1.569125,N
839844,1.569125,N
841949,1.474375,N
844057,1.426875,N
846169,1.473000,N
848271,1.563125,N
850370,1.636125,N
852476,1.639000,N
854581,1.639000,N
856687,1.567250,N
858790,1.480875,N
860897,1.454000,N
863003,1.512125,N
865107,1.598250,N
867245,1.659375,N
869315,1.659375,N
871423,1.638875,N
873531,1.543750,N
875631,1.443375,N
877736,1.427750,N
879842,1.505500,N
881946,1.597750,N
884075,1.597750,N
886168,1.651625,N
888261,1.614500,N
890366,1.512875,N
892472,1.432750,N
894576,1.456250,N
896684,1.456250,N
898788,1.553375,N
900891,1.649750,N
902997,1.699375,N
905102,1.652000,N
907233,1.547000,N
909313,1.467500,N
911416,1.467500,N
913522,1.484500,N
915626,1.564500,N
917731,1.646125,N
919837,1.667875,N
921941,1.590750,N
924073,1.480125,N
926149,1.480125,N
928270,1.427625,N
930361,1.476875,N
932496,1.570750,N
934572,1.652500,N
936675,1.658000,N
938782,1.582500,N
940886,1.582500,N
942991,1.496875,N
945094,1.480875,N
947199,1.550125,N
949313,1.645750,N
951415,1.717250,N
953517,1.705375,N
955620,1.705375,N
957726,1.625125,N
959832,1.550000,N
961934,1.559625,N
964072,1.652375,N
966146,1.754000,N
968252,1.818125,N
970355,1.818125,N
972459,1.778625,N
974566,1.678250,N
976674,1.610250,N
978776,1.638000,N
980880,1.723000,N
982987,1.805250,N
985090,1.805250,N
987194,1.833375,P
989302,1.771250,N
991410,1.679500,N
993511,1.631125,N
995615,1.669500,N
997717,1.751750,N
999846,1.751750,N
1001934,1.818875,N
1004039,1.809875,N
1006143,1.714500,N
1008246,1.600750,N
1010352,1.547125,N
1012455,1.581875,N
1014562,1.581875,N
1016671,1.648125,N
1018769,1.693250,N
1020876,1.660500,N
1022980,1.548375,N
1025093,1.434250,N
1027190,1.408750,N
1029322,1.408750,N
1031409,1.478250,N
1033558,1.568875,N
1035613,1.622875,N
1037718,1.588000,N
1039823,1.499500,N
1041928,1.499500,N
1044027,1.434125,N
1046136,1.457750,N
1048249,1.544500,N
1050345,1.627750,N
1052452,1.662875,N
1054557,1.607625,N
1056662,1.607625,N
1058765,1.504500,N
1060871,1.425875,N
1062978,1.439375,N
1065081,1.515250,N
1067186,1.594500,N
1069293,1.617500,N
1071398,1.617500,N
1073506,1.555500,N
1075605,1.458375,N
1077711,1.409875,N
1079815,1.462375,N
1081920,1.560500,N
1084025,1.642750,N
1086129,1.642750,N
1088237,1.644375,N
1090340,1.557000,N
1092446,1.459375,N
1094551,1.434125,N
1096656,1.501500,N
1098763,1.588000,N
1100863,1.588000,N
1102972,1.637000,N
1105074,1.594750,N
1107181,1.493375,N
1109287,1.403375,N
1111389,1.398125,N
1113496,1.474750,N
1115599,1.474750,N
1117705,1.562500,N
1119810,1.607375,N
1121914,1.550875,N
1124025,1.430875,N
1126125,1.304250,N
1128232,1.303625,Q
1130334,1.303625,N
1132440,1.410625,N
1134580,1.536375,N
1136651,1.618875,N
1138756,1.628125,N
1140861,1.634000,N
