timestamp_us,voltage
0,1.612125
3972,1.696375
7967,1.668875
11965,1.579625
15979,1.579625
19972,1.638375
23973,1.716125
27973,1.636750
32079,1.591125
35821,1.674625
39819,1.674375
43821,1.674375
47819,1.580250
51821,1.612375
55820,1.689125
59820,1.616750
63820,1.565500
67820,1.565500
71817,1.659750
75826,1.674875
79820,1.571250
83820,1.586125
87818,1.676625
91822,1.627750
95820,1.627750
99819,1.557625
103817,1.638625
107827,1.678750
111824,1.584375
115824,1.575500
119822,1.663500
123823,1.663500
127824,1.631500
131867,1.549625
135978,1.617250
139973,1.684125
143974,1.593375
147973,1.560375
151975,1.560375
155976,1.658000
159976,1.650000
163968,1.561375
167973,1.604875
171975,1.677375
175978,1.611875
179969,1.611875
183976,1.569250
187973,1.656375
191970,1.662000
195999,1.565125
199976,1.591000
203967,1.675125
207975,1.675125
211971,1.617250
215973,1.561000
219972,1.648875
223974,1.677250
227972,1.575375
232013,1.575375
235971,1.580375
239974,1.671375
243973,1.631125
247972,1.565125
251972,1.653250
255970,1.714375
259972,1.714375
263972,1.624500
267972,1.603750
271973,1.695875
275970,1.669375
279970,1.583500
283972,1.658750
287971,1.658750
291972,1.755500
295972,1.700250
299970,1.679250
303974,1.758000
307973,1.712625
311973,1.594125
315972,1.594125
319970,1.636375
323972,1.708750
327972,1.623500
332000,1.558875
335974,1.621250
339972,1.609000
343970,1.609000
347972,1.517250
351972,1.560875
355972,1.658625
359972,1.591500
363970,1.518375
367973,1.598875
371971,1.598875
375972,1.636125
379971,1.544500
383970,1.545000
387970,1.622625
391972,1.561125
395969,1.561125
399974,1.432500
403972,1.426875
407971,1.477625
411972,1.535250
415971,1.760375
419972,2.147625
423972,2.147625
427971,2.472125
431998,2.763375
435973,2.936375
439972,2.734750
443971,2.112750
447971,1.548375
451966,1.548375
455974,1.409125
459972,1.467500
463974,1.494250
467972,1.530000
471971,1.542750
475972,1.449000
479973,1.449000
483972,1.425500
487972,1.559875
491971,1.582375
495972,1.454875
499972,1.460875
503971,1.560125
507971,1.560125
511972,1.522875
515970,1.463375
519972,1.538625
523972,1.570375
527968,1.485375
531986,1.485375
535971,1.497875
539972,1.600625
543972,1.561375
547972,1.472125
551972,1.541500
555972,1.602500
559966,1.602500
563973,1.518750
567971,1.509875
571972,1.611875
575971,1.592250
579970,1.508500
583972,1.574625
587972,1.574625
591972,1.640875
595981,1.554875
599970,1.514375
603970,1.608875
607972,1.619250
611973,1.534500
615973,1.534500
619972,1.573250
623977,1.649250
627973,1.575250
632001,1.515250
635972,1.600875
639976,1.608750
643969,1.608750
647971,1.497000
651972,1.507875
655977,1.589875
659972,1.528125
663972,1.459750
667970,1.549375
671972,1.549375
675976,1.593250
679972,1.502875
683972,1.503500
687973,1.595875
691977,1.562000
695971,1.562000
699967,1.477500
703974,1.543625
707970,1.601125
711970,1.512875
715973,1.491125
719982,1.585625
723972,1.585625
727972,1.564250
731986,1.466000
735974,1.519375
739972,1.595625
743982,1.517625
747971,1.475500
751970,1.475500
755972,1.566250
759972,1.573250
763972,1.486750
767971,1.527125
771972,1.611000
775970,1.548000
779977,1.548000
783971,1.491875
787972,1.586875
791972,1.616875
795973,1.515500
799972,1.518375
803972,1.611250
807972,1.611250
811972,1.563000
815971,1.487375
819971,1.568625
823973,1.617250
827972,1.521125
831999,1.507500
835973,1.507500
839971,1.601000
843972,1.566250
847969,1.473625
851978,1.541250
855972,1.607750
859970,1.607750
863972,1.525875
867979,1.495000
871973,1.582750
875971,1.571000
879973,1.478500
883971,1.523500
887977,1.523500
891972,1.597000
895972,1.511125
899971,1.456375
903970,1.550250
907971,1.568125
911972,1.478625
915977,1.478625
919977,1.505250
923969,1.581875
927970,1.524000
931988,1.459875
935977,1.541875
939972,1.570750
943971,1.570750
947966,1.471375
951983,1.478500
955972,1.566625
959972,1.525625
963981,1.458375
967970,1.535375
971972,1.535375
975974,1.580500
979977,1.484375
983977,1.477625
987972,1.581250
991976,1.554000
995975,1.554000
999993,1.465375
1003978,1.526375
1007979,1.588500
1011967,1.500625
1015976,1.476250
1019978,1.576000
1023977,1.576000
1027968,1.571000
1032016,1.486375
1035973,1.535125
1039975,1.611000
1043972,1.542375
1047972,1.507125
1051973,1.507125
1055972,1.601000
1059972,1.606625
1063972,1.539000
1067973,1.605500
1071970,1.709750
1075971,1.639125
1079973,1.639125
1083973,1.548750
1087973,1.606500
1091971,1.627750
1095972,1.530000
1099971,1.529500
1103974,1.609125
1107970,1.609125
1111971,1.542000
1115972,1.443250
1119972,1.496625
1123971,1.543750
1127972,1.464375
1131985,1.460625
1135970,1.460625
1139972,1.560500
1143972,1.537625
1147973,1.447750
1151973,1.503000
1155971,1.563875
1159972,1.563875
1163971,1.485125
1167973,1.449250
1171977,1.518000
1175973,1.446625
1179970,1.275250
1183964,1.337500
1187974,1.337500
1191973,1.586875
1195975,1.781000
1199965,2.057375
1203975,2.493500
1207971,2.892125
1211978,2.952250
1215977,2.952250
1219974,2.729250
1223973,2.234500
1227976,1.588125
1232003,1.284250
1235973,1.432125
1239972,1.563250
1243976,1.563250
1247972,1.463625
1251975,1.428125
1255976,1.507500
1259972,1.478250
1263972,1.402625
1267976,1.453375
1271975,1.453375
1275972,1.488750
1279972,1.401875
1283976,1.405375
1287977,1.517875
1291971,1.492750
1295971,1.385250
1299976,1.385250
1303976,1.450250
1307972,1.542625
1311972,1.474500
1315974,1.438500
1319977,1.536250
1323973,1.536250
1327973,1.544000
1331985,1.449000
1335976,1.480750
1339972,1.565250
1343971,1.507875
1347977,1.470125
1351977,1.470125
1355969,1.563875
1359966,1.581875
1363977,1.485375
1367977,1.509375
1371973,1.613000
1375971,1.563500
1379974,1.563500
1383977,1.494500
1387972,1.582500
1391973,1.627500
1395981,1.533000
1399975,1.530625
1403973,1.628625
1407973,1.628625
1411977,1.596250
1415977,1.510250
1419973,1.566375
1423972,1.613500
1427976,1.522625
1432000,1.501750
1435973,1.501750
1439973,1.590125
1443970,1.568750
1447979,1.480375
1451974,1.542250
1455974,1.611250
1459977,1.611250
1463975,1.522750
1467970,1.483375
1471972,1.589625
1475976,1.595500
1479976,1.488000
1483972,1.515000
1487971,1.515000
1491976,1.600000
1495976,1.535875
1499972,1.475125
1503977,1.561000
1507971,1.581125
1511972,1.482625
1515976,1.482625
1519977,1.502000
1523972,1.593625
1527972,1.539875
1531987,1.468250
1535977,1.556375
1539971,1.613875
1543972,1.613875
1547976,1.524875
1551975,1.513000
1555972,1.613625
1559971,1.591000
1563976,1.510875
1567976,1.581625
1571969,1.581625
1575970,1.644625
1579976,1.556000
1583972,1.533125
1587973,1.639625
1591973,1.627625
1595972,1.527500
1599990,1.527500
1604038,1.580625
1607987,1.661875
1611973,1.590000
1615966,1.543500
1619975,1.632625
1623974,1.632625
1627971,1.634250
1632016,1.536000
1635975,1.571250
1639971,1.656750
1643977,1.585625
1647978,1.522000
1651972,1.522000
1655972,1.611875
1659974,1.639500
1663976,1.543500
1667972,1.552125
1671972,1.641125
1675976,1.584875
1679976,1.584875
1683971,1.507875
1687972,1.588875
1691972,1.632625
1695978,1.533125
1699972,1.527625
1703970,1.632125
1707976,1.632125
1711977,1.607875
1715972,1.523375
1719971,1.584500
1723974,1.643625
1727977,1.559500
1731986,1.537000
1735973,1.537000
1739977,1.638250
1743972,1.628250
1747972,1.533625
1751974,1.586125
1755971,1.664750
1759972,1.588000
1763970,1.588000
1767969,1.539625
1771971,1.635625
1775972,1.653625
1779970,1.554125
1783971,1.576500
1787970,1.576500
1791971,1.664875
1795975,1.600750
1799971,1.542125
1803971,1.641750
1807974,1.679750
1811970,1.576250
1815971,1.576250
1819972,1.576125
1823972,1.668125
1827971,1.630375
1832000,1.561250
1835974,1.640750
1839975,1.694250
1843971,1.694250
1847972,1.606000
1851972,1.597625
1855970,1.693500
1859970,1.666500
1863970,1.579875
1867971,1.645125
1871969,1.645125
1875970,1.714625
1879972,1.630250
1883972,1.604750
1887973,1.712375
1891970,1.711125
1895969,1.623250
1899970,1.623250
1903974,1.670375
1907971,1.750625
1911971,1.702750
1915971,1.685375
1919970,1.800000
1923970,1.800000
1927970,1.819625
1931985,1.709500
1935974,1.705250
1939964,1.769625
1943972,1.698250
1947972,1.630750
1951972,1.630750
1955970,1.722000
1959970,1.746750
1963970,1.620625
1967974,1.597750
1971971,1.678875
1975971,1.652125
1979971,1.652125
1983970,1.596000
1987970,1.667375
1991971,1.712250
1995974,1.623000
1999991,1.610250
2003972,1.706750
2007970,1.706750
2011969,1.687125
2015973,1.599125
2019973,1.636500
2023972,1.647000
2027964,1.490000
2032011,1.484750
2035975,1.484750
2039972,1.758375
2043977,2.018875
2047975,2.242125
2051972,2.631375
2055972,3.075875
2059976,3.094250
2063978,3.094250
2067973,2.746000
2071969,2.245250
2075977,1.725750
2079976,1.438125
2083972,1.538125
2087971,1.538125
2091973,1.717500
2095972,1.659500
2099973,1.555875
2103972,1.624875
2107976,1.681625
2111973,1.602500
2115970,1.602500
2119972,1.590000
2123975,1.665625
2127975,1.625250
2131985,1.554250
2135970,1.629125
2139974,1.693375
2143974,1.693375
2147971,1.612625
2151971,1.596625
2155973,1.695250
2159968,1.675375
2163977,1.583750
2167970,1.631625
2171974,1.631625
2175973,1.703750
2179969,1.637500
2183971,1.618000
2187968,1.718125
2191973,1.718750
2195976,1.622750
2199970,1.622750
2203986,1.650375
2207976,1.734750
2211973,1.690375
2215973,1.654875
2219964,1.735875
2223974,1.745250
2227973,1.745250
2232002,1.650250
2235971,1.679875
2239976,1.787375
2243973,1.741625
2247972,1.664250
2251974,1.664250
2255972,1.743125
2259970,1.788500
2263971,1.699125
2267969,1.697250
2271974,1.785875
2275968,1.740250
2279974,1.740250
2283970,1.644125
2287973,1.701125
2291973,1.764125
2295973,1.683125
2299970,1.661750
2303973,1.758625
2307970,1.758625
2311972,1.746250
2315969,1.647875
2319973,1.684750
2323972,1.749125
2327971,1.677625
2331983,1.638625
2335973,1.638625
2339972,1.722625
2343973,1.717750
2347971,1.611875
2351971,1.636125
2355972,1.707500
2359971,1.637625
2363971,1.637625
2367972,1.586375
2371969,1.682000
2375972,1.708000
2379971,1.611250
2383968,1.632750
2387973,1.632750
2391973,1.725375
2395971,1.668500
2399972,1.593250
2403972,1.677000
2407972,1.730250
2411972,1.640625
2415972,1.640625
2419972,1.634500
2423972,1.735625
2427972,1.709625
2432001,1.625250
2435966,1.679875
2439974,1.732000
2443973,1.732000
2447974,1.652875
2451973,1.641375
2455974,1.749750
2459970,1.735500
2463973,1.644000
2467972,1.685375
2471972,1.685375
2475971,1.746000
2479972,1.662750
2483972,1.622000
2487973,1.733500
2491971,1.753375
2495972,1.642375
2499972,1.642375
2503971,1.639000
2507972,1.705250
2511974,1.650125
2515971,1.604250
2519972,1.693125
2523969,1.709750
2527972,1.709750
2531984,1.595500
2535973,1.593375
2539972,1.695875
2543970,1.676500
2547971,1.608625
2551973,1.608625
2555971,1.672750
2559972,1.707125
2563971,1.603125
2567970,1.576750
2571971,1.669250
2575972,1.655875
2579971,1.655875
2583971,1.583750
2587970,1.634875
2591972,1.691500
2595973,1.631500
2599971,1.614500
2603972,1.692000
2607969,1.692000
2611972,1.669375
2615974,1.580250
2619972,1.643625
2623972,1.736500
2627972,1.659625
2631998,1.602250
2635972,1.602250
2639974,1.702875
2643972,1.725250
2647974,1.638875
2651970,1.694250
2655971,1.813500
2659972,1.767500
2663973,1.767500
2667972,1.704000
2671974,1.770750
2675971,1.767125
2679973,1.648125
2683968,1.659125
2687973,1.754250
2691972,1.754250
2695970,1.696500
2699972,1.581625
2703973,1.617250
2707971,1.656250
2711972,1.582750
2715971,1.582750
2719970,1.588500
2723971,1.675625
2727972,1.631875
2731985,1.536500
2735974,1.604875
2739970,1.686750
2743973,1.686750
2747971,1.611500
2751974,1.567375
2755973,1.649125
2759971,1.633375
2763970,1.495375
2767973,1.454875
2771971,1.454875
2775973,1.508250
2779972,1.569500
2783971,1.755750
2787971,2.132250
2791972,2.483125
2795973,2.765000
2799973,2.765000
2803971,2.968000
2807973,2.828000
2811971,2.236625
2815972,1.636375
2819971,1.464250
2823972,1.518000
2827970,1.518000
2832002,1.520000
2835973,1.526250
2839972,1.554875
2843971,1.486875
2847971,1.433500
2851973,1.551750
2855973,1.551750
2859972,1.631750
2863974,1.523000
2867969,1.483500
2871971,1.583000
2875972,1.571375
2879973,1.571375
2883972,1.487000
2887973,1.544000
2891970,1.615000
2895969,1.537125
2899973,1.506625
2903973,1.608000
2907971,1.608000
2911971,1.617875
2915971,1.535500
2919972,1.572375
2923971,1.648250
2927973,1.584750
2931980,1.546000
2935972,1.546000
2939972,1.644500
2943973,1.660375
2947972,1.558000
2951972,1.580625
2955971,1.686500
2959974,1.644250
2963973,1.644250
2967973,1.583500
2971972,1.670375
2975971,1.712375
2979969,1.624125
2983972,1.631875
2987972,1.735750
2991973,1.735750
2995974,1.698500
2999986,1.612750
3003975,1.667875
3007974,1.716125
3011968,1.632625
3015974,1.632625
3019970,1.612500
3023973,1.691125
3027969,1.662000
3032016,1.575375
3035974,1.626125
3039973,1.686125
3043970,1.686125
3047972,1.606375
3051971,1.571125
3055973,1.659250
3059973,1.654125
3063971,1.553750
3067970,1.591000
3071971,1.591000
3075971,1.668625
3079972,1.593750
3083969,1.537375
3087970,1.624250
3091972,1.639625
3095972,1.538750
3099970,1.538750
3103971,1.544750
3107970,1.630125
3111972,1.576875
3115970,1.506250
3119967,1.582000
3123973,1.621500
3127970,1.621500
3131985,1.530375
3135971,1.535750
3139971,1.635000
3143971,1.612750
3147968,1.538000
3151969,1.608500
3155971,1.608500
3159972,1.666500
3163970,1.585125
3167970,1.570875
3171970,1.663875
3175971,1.647750
3179966,1.647750
3183963,1.561750
3187976,1.618750
3191971,1.687625
3195972,1.594000
3199971,1.549000
3203972,1.656500
3207971,1.656500
3211970,1.671875
3215969,1.578625
3219972,1.608500
3223997,1.681125
3227977,1.605375
3232002,1.552500
3235969,1.552500
3239967,1.644500
3243973,1.664500
3247973,1.562125
3251971,1.570875
3255964,1.659750
3259974,1.610250
3263976,1.610250
3267974,1.531500
3271974,1.609375
3275972,1.656875
3279973,1.570625
3283973,1.565875
3287974,1.648500
3291972,1.648500
3295973,1.605375
3299970,1.512875
3303973,1.578500
3307970,1.646500
3311974,1.568500
3315971,1.545625
3319972,1.545625
3323969,1.639125
3327972,1.627250
3331985,1.538625
3335973,1.579125
3339972,1.645375
3343971,1.645375
3347972,1.564875
3351972,1.526000
3355972,1.635500
3359973,1.657125
3363971,1.565250
3367970,1.602500
3371972,1.602500
3375973,1.687000
3379972,1.631125
3383972,1.583625
3387970,1.669375
3391973,1.712875
3395973,1.658000
3399971,1.658000
3403971,1.702500
3407968,1.787500
3411973,1.708125
3415973,1.608875
3419972,1.663875
3423973,1.692500
3427968,1.692500
3432001,1.587000
3435973,1.568625
3439974,1.647750
3443972,1.584875
3447973,1.474375
3451970,1.550375
3455972,1.550375
3459971,1.634125
3463974,1.539250
3467972,1.492000
3471974,1.591875
3475971,1.592000
3479973,1.592000
3483972,1.501000
3487972,1.543625
3491971,1.610375
3495970,1.529500
3499972,1.481250
3503973,1.532750
3507972,1.532750
3511972,1.448750
3515969,1.308375
3519972,1.473375
3523971,1.845125
3527973,2.155625
3531985,2.451375
3535969,2.451375
3539971,2.917000
3543972,3.184500
3547970,3.071000
3551972,2.591625
3555970,1.911250
3559969,1.397125
3563972,1.397125
3567971,1.326250
3571970,1.572500
3575971,1.680875
3579967,1.525875
3583969,1.446375
3587970,1.549875
3592164,1.549875
3595969,1.538000
3599965,1.437750
3603963,1.482125
3607975,1.540625
3611972,1.467375
3615973,1.454750
3619972,1.454750
3623970,1.560125
3627971,1.545250
3631999,1.438875
3635974,1.488500
3639974,1.584625
3643972,1.584625
3647971,1.516625
3651972,1.471500
3655973,1.570500
3659972,1.586375
3663970,1.484125
