timestamp_us,voltage
0,1.570875
3977,1.657750
7971,1.573875
11972,1.518625
15903,1.605000
19925,1.625375
23907,1.625375
27918,1.545500
31912,1.567500
35908,1.642125
39936,1.587250
43919,1.534125
47909,1.534125
51914,1.612500
55913,1.647625
59910,1.582000
63912,1.609500
67910,1.688875
71919,1.636125
75910,1.636125
79908,1.579875
83912,1.682125
87920,1.736000
91911,1.640500
95908,1.637000
99908,1.740375
103919,1.740375
107911,1.718500
111909,1.638750
115997,1.688000
120068,1.712375
124058,1.614125
128063,1.599250
132062,1.599250
136064,1.698375
140061,1.675000
144061,1.571750
148059,1.599375
152065,1.670625
156064,1.611000
160069,1.611000
164057,1.558625
168061,1.632125
172058,1.629125
176066,1.541000
180064,1.580750
184064,1.671375
188055,1.671375
192075,1.610125
196066,1.552875
200074,1.643250
204062,1.674250
208059,1.588250
212065,1.588250
216099,1.606375
220063,1.694125
224061,1.633000
228065,1.562250
232071,1.639125
236063,1.665375
240059,1.665375
244067,1.571375
248074,1.581875
252061,1.685500
256060,1.654125
260065,1.579125
264072,1.649625
268061,1.649625
272058,1.699250
276065,1.605125
280073,1.583875
284062,1.686375
288059,1.678875
292065,1.590375
296070,1.590375
300062,1.632500
304060,1.690750
308067,1.615125
312074,1.579625
316060,1.663500
320088,1.671000
324066,1.671000
328073,1.594750
332062,1.628000
336060,1.689500
340066,1.616500
344073,1.566250
348062,1.666750
352056,1.666750
356068,1.701000
360072,1.603875
364061,1.596625
368059,1.675750
372066,1.648625
376074,1.648625
380060,1.585000
384059,1.650875
388066,1.692000
392073,1.602000
396065,1.593500
400060,1.689625
404066,1.689625
408074,1.677000
412063,1.612875
416060,1.672875
420095,1.738875
424074,1.675375
428063,1.661500
432060,1.661500
436068,1.762625
440073,1.771125
444062,1.704000
448057,1.751500
452066,1.821125
456061,1.739750
460066,1.739750
464072,1.684250
468061,1.750875
472061,1.731375
476066,1.600625
480073,1.600375
484062,1.669125
488058,1.669125
492064,1.606000
496073,1.554250
500063,1.624750
504060,1.645125
508066,1.555375
512070,1.555375
516061,1.570250
520058,1.673375
524072,1.626750
528073,1.530125
532060,1.585250
536060,1.637500
540066,1.637500
544068,1.549500
548063,1.510500
552060,1.553625
556064,1.459125
560072,1.285000
564061,1.356875
568059,1.356875
572066,1.684000
576071,2.159375
580062,2.772875
584059,3.068000
588066,2.660000
592073,1.988250
596062,1.988250
600058,1.786250
604067,1.943000
608067,1.934625
612064,1.725000
616060,1.603375
620065,1.556125
624101,1.556125
628066,1.501625
632062,1.543625
636067,1.617000
640072,1.547500
644059,1.480875
648062,1.562500
652066,1.562500
656073,1.598750
660063,1.501500
664059,1.509625
668067,1.614625
672073,1.581875
676061,1.581875
680060,1.498750
684065,1.564500
688074,1.632750
692063,1.573500
696060,1.543875
700066,1.596250
704071,1.596250
708062,1.573500
712073,1.522250
716062,1.604625
720059,1.667875
724067,1.581125
728082,1.543250
732061,1.543250
736060,1.641500
740066,1.645750
744072,1.558750
748060,1.606625
752060,1.691625
756065,1.626500
760073,1.626500
764061,1.574750
768054,1.664000
772062,1.677500
776068,1.601625
780062,1.645250
784063,1.739250
788062,1.739250
792065,1.693125
796063,1.642375
800063,1.733500
804061,1.773500
808067,1.698125
812059,1.706375
816063,1.706375
820063,1.796500
824068,1.753750
828090,1.682625
832061,1.760750
836063,1.797250
840069,1.797250
844063,1.685500
848064,1.654125
852063,1.740000
856066,1.712750
860062,1.619000
864058,1.665000
868063,1.665000
872068,1.720500
876061,1.642500
880062,1.613625
884062,1.711125
888067,1.712000
892058,1.616375
896064,1.616375
900059,1.642375
904067,1.717625
908062,1.652250
912063,1.601250
916062,1.702000
920066,1.726250
924062,1.726250
928063,1.617375
932078,1.628625
936065,1.726125
940062,1.688000
944061,1.622625
948062,1.689875
952066,1.689875
956062,1.721750
960064,1.647875
964062,1.657375
968063,1.733375
972062,1.689125
976067,1.689125
980065,1.620625
984061,1.690625
988060,1.743125
992066,1.652125
996062,1.632125
1000077,1.728875
1004064,1.728875
1008067,1.709500
1012059,1.623250
1016065,1.689500
1020063,1.748875
1024068,1.661125
1028056,1.634500
1032105,1.634500
1036070,1.744125
1040075,1.740250
1044063,1.628500
1048061,1.659625
1052065,1.752000
1056074,1.685000
1060062,1.685000
1064062,1.609500
1068067,1.674375
1072071,1.699875
1076062,1.626625
1080060,1.656250
1084066,1.735125
1088073,1.735125
1092060,1.679500
1096059,1.618500
1100067,1.704750
1104073,1.747000
1108062,1.642000
1112060,1.613250
1116064,1.613250
1120073,1.706750
1124061,1.695125
1128060,1.624500
1132066,1.685125
1136084,1.730375
1140058,1.730375
1144062,1.637625
1148067,1.617000
1152074,1.708250
1156062,1.695875
1160059,1.610375
1164067,1.651625
1168073,1.651625
1172062,1.722875
1176060,1.662875
1180061,1.627250
1184061,1.721875
1188066,1.738750
1192073,1.651000
1196063,1.651000
1200058,1.690625
1204065,1.782625
1208073,1.723875
1212057,1.678250
1216070,1.792000
1220063,1.851875
1224067,1.851875
1228063,1.754125
1232062,1.747375
1236091,1.829500
1240070,1.752125
1244061,1.610500
1248063,1.645625
1252062,1.645625
1256068,1.703875
1260062,1.614625
1264063,1.580250
1268060,1.655250
1272066,1.635625
1276061,1.556500
1280063,1.556500
1284061,1.602875
1288066,1.666500
1292062,1.593375
1296063,1.564500
1300061,1.647875
1304067,1.647875
1308055,1.631500
1312061,1.538875
1316062,1.570375
1320068,1.598375
1324062,1.449625
1328062,1.295125
1332059,1.295125
1336067,1.355875
1340062,1.509875
1344063,1.812125
