timestamp_us,voltage
0,1.510000
3967,1.629375
7965,1.581250
11963,1.508125
15964,1.591500
19973,1.591500
23973,1.629375
27972,1.531125
31969,1.546000
35971,1.646750
39971,1.580750
43972,1.507500
47972,1.507500
51970,1.621625
55969,1.661875
59967,1.524250
63972,1.514375
67972,1.650375
71969,1.622875
75967,1.622875
79972,1.497875
83977,1.562750
87973,1.639000
91971,1.534125
95966,1.505125
99971,1.646000
103972,1.646000
107971,1.642750
111969,1.514500
115973,1.554500
119970,1.650125
123971,1.577875
127972,1.577875
131973,1.517750
135971,1.647750
139969,1.664250
143971,1.527000
147973,1.561000
151971,1.676750
155970,1.676750
159969,1.593250
163970,1.510875
167970,1.636750
171970,1.693875
175972,1.578500
179969,1.577625
184055,1.577625
188058,1.681625
192055,1.640500
196070,1.572250
200053,1.698000
204053,1.779500
208054,1.658625
212055,1.658625
216054,1.652125
220055,1.773500
224054,1.721750
228053,1.597000
232054,1.652375
236055,1.696250
240055,1.696250
244054,1.572250
248053,1.534500
252056,1.658875
256054,1.618000
260054,1.463250
264053,1.529375
268055,1.529375
272053,1.650250
276054,1.556375
280054,1.489000
284086,1.604250
288055,1.623250
292053,1.623250
296054,1.501375
300055,1.539000
304055,1.655375
308055,1.573500
312054,1.485125
316053,1.559000
320054,1.559000
324054,1.547625
328055,1.430625
332054,1.574750
336053,1.927000
340055,2.131625
344054,2.285500
348054,2.285500
352054,2.688625
356052,2.912500
360054,2.602500
364054,2.104000
368054,1.748750
372054,1.511625
376054,1.511625
380052,1.402250
384066,1.496000
388055,1.567500
392049,1.462125
396062,1.455875
400054,1.615250
404056,1.615250
408054,1.608250
412055,1.463250
416054,1.503500
420053,1.607500
424054,1.539125
428051,1.503750
432055,1.503750
436056,1.625875
440055,1.622750
444052,1.470375
448055,1.522375
452055,1.674125
456051,1.674125
460058,1.605625
464053,1.522625
468055,1.633375
472054,1.676625
476055,1.557875
480054,1.567500
484088,1.567500
488053,1.682000
492056,1.617000
496055,1.540625
500055,1.674250
504054,1.741000
508052,1.594750
512053,1.594750
516055,1.578750
520054,1.728250
524055,1.706875
528052,1.587750
532054,1.661750
536055,1.767875
540055,1.767875
544054,1.683000
548055,1.640250
552053,1.762875
556054,1.753750
560054,1.654875
564055,1.737250
568053,1.737250
572053,1.843500
576054,1.723375
580054,1.642750
584067,1.768125
588060,1.790250
592054,1.658875
596056,1.658875
600053,1.675125
604055,1.782250
608054,1.706625
612054,1.614000
616052,1.704375
620054,1.704375
624055,1.731000
628055,1.598875
632054,1.601625
636053,1.705625
640053,1.620500
644054,1.516000
648054,1.516000
652055,1.639375
656056,1.716875
660054,1.562750
664054,1.526250
668055,1.653250
672054,1.623125
676050,1.623125
680045,1.514250
684087,1.578000
688056,1.648750
692055,1.547250
696054,1.523250
700055,1.654125
704053,1.654125
708055,1.633875
712054,1.496250
716055,1.567875
720055,1.705750
724053,1.623875
728054,1.533750
732055,1.533750
736055,1.638125
740055,1.666500
744052,1.539500
748053,1.568375
752054,1.704375
756054,1.704375
760054,1.644250
764054,1.544500
768053,1.636625
772055,1.669875
776054,1.561375
780060,1.587500
784067,1.587500
788053,1.724625
792054,1.651375
796065,1.521375
800056,1.626500
804054,1.709500
808054,1.583625
812058,1.583625
816056,1.556500
820055,1.685500
824055,1.650875
828055,1.531250
832053,1.598125
836065,1.680500
840056,1.680500
844055,1.569125
848056,1.511500
852054,1.644625
856053,1.669500
860055,1.543750
864060,1.563250
868060,1.563250
872055,1.666125
876053,1.609000
880060,1.547250
884087,1.648625
888056,1.661250
892055,1.540250
896052,1.540250
900059,1.572500
904050,1.683500
908057,1.599875
912059,1.510000
916059,1.620250
920053,1.620250
924050,1.677500
928058,1.547250
932059,1.532750
936054,1.649250
940052,1.621250
944058,1.522250
948059,1.522250
952054,1.611125
956054,1.700875
960056,1.581000
964064,1.526875
968050,1.647750
972057,1.635250
976061,1.635250
980060,1.537250
984084,1.617625
988056,1.707000
992059,1.590625
996062,1.548875
1000070,1.694000
1004054,1.694000
1008060,1.718875
1012056,1.607250
1016055,1.655625
1020055,1.760750
1024059,1.684375
1028054,1.613125
1032054,1.613125
1036053,1.735125
1040056,1.773875
1044055,1.634875
1048052,1.641125
1052052,1.739125
1056054,1.649625
1060053,1.649625
1064052,1.543500
1068053,1.647500
1072053,1.693375
1076055,1.545750
1080055,1.521000
1084092,1.521000
1088054,1.651375
1092050,1.617875
1096054,1.509125
1100054,1.592000
1104054,1.657750
1108052,1.531875
1112051,1.531875
1116052,1.508875
1120053,1.655000
1124052,1.637625
1128053,1.508500
1132053,1.566375
1136051,1.648750
1140052,1.648750
1144053,1.490250
1148054,1.395375
1152052,1.609125
1156050,1.817000
1160052,1.929625
1164053,2.225875
1168052,2.225875
1172047,2.647875
1176054,2.845375
1180052,2.739500
1184068,2.485875
1188053,2.007500
1192048,1.505250
1196058,1.505250
1200057,1.417375
1204053,1.568375
1208048,1.547125
1212061,1.475500
1216056,1.577625
1220053,1.618875
1224053,1.618875
1228055,1.509750
1232056,1.511375
1236054,1.629000
1240053,1.567125
1244051,1.455000
1248055,1.455000
1252055,1.570000
1256053,1.672500
1260052,1.542375
1264053,1.499500
1268054,1.642750
1272053,1.640500
1276052,1.640500
1280053,1.531000
1284084,1.592250
1288053,1.683625
1292053,1.586250
1296055,1.535625
1300054,1.658750
1304053,1.658750
1308050,1.675250
1312054,1.560125
1316053,1.611875
1320053,1.737500
1324051,1.664500
1328052,1.584500
1332052,1.584500
1336057,1.688250
1340052,1.738500
1344056,1.639875
1348051,1.671750
1352049,1.789875
1356052,1.716875
1360056,1.716875
1364055,1.611250
1368056,1.716125
1372053,1.798875
1376054,1.686750
1380054,1.673250
1384065,1.673250
1388054,1.822375
1392054,1.812875
1396057,1.697125
1400051,1.749375
1404054,1.817875
1408053,1.723250
1412053,1.723250
1416047,1.704000
1420047,1.824750
1424055,1.790375
1428054,1.651375
1432054,1.704875
1436054,1.793000
1440052,1.793000
1444054,1.684625
1448053,1.614625
1452055,1.732375
1456055,1.737875
1460052,1.584375
1464053,1.592125
1468055,1.592125
1472054,1.711375
1476054,1.653125
1480051,1.561125
1484080,1.658500
1488057,1.703500
1492054,1.580000
1496053,1.580000
1500054,1.577125
1504052,1.690750
1508054,1.639250
1512053,1.537625
1516054,1.615750
1520054,1.701000
1524052,1.701000
1528053,1.609125
1532053,1.583375
1536053,1.692375
1540053,1.662125
1544051,1.571125
1548052,1.571125
1552054,1.667000
1556053,1.753125
1560053,1.634625
1564053,1.578000
1568052,1.696375
1572053,1.701000
1576048,1.701000
1580055,1.582875
1584066,1.632500
1588052,1.737375
1592055,1.659750
1596056,1.597875
1600052,1.701000
1604054,1.701000
1608053,1.717375
1612051,1.591125
1616054,1.614625
1620054,1.721375
1624053,1.647375
1628053,1.575875
1632051,1.575875
1636054,1.691250
1640054,1.733500
1644054,1.585000
1648054,1.574000
1652052,1.712500
1656052,1.681625
1660054,1.681625
1664053,1.575375
1668050,1.644000
1672055,1.710125
1676052,1.601250
1680054,1.574000
1684082,1.700875
1688054,1.700875
1692054,1.695375
1696052,1.572000
1700054,1.612875
1704049,1.707750
1708055,1.633250
1712055,1.633250
1716055,1.590000
1720052,1.706750
1724054,1.710750
1728053,1.605375
1732053,1.660250
1736053,1.766500
1740052,1.766500
1744053,1.696250
1748053,1.641750
1752053,1.752500
1756054,1.774375
1760051,1.663875
1764052,1.704250
1768054,1.704250
1772052,1.837875
1776052,1.761125
1780054,1.638625
1784063,1.718000
1788054,1.768875
1792053,1.636625
1796056,1.636625
1800055,1.615250
1804052,1.704875
1808053,1.623375
1812054,1.512500
1816054,1.618625
1820054,1.704750
1824053,1.704750
1828052,1.587875
1832053,1.549875
1836054,1.669875
1840055,1.649625
1844055,1.531000
1848052,1.590375
1852054,1.590375
1856054,1.685375
1860053,1.587125
1864053,1.527625
1868051,1.628250
1872053,1.598125
1876054,1.598125
1880053,1.431000
1884082,1.475500
1888054,1.710625
1892052,1.843000
1896054,1.990375
1900054,2.325625
1904055,2.325625
1908054,2.642375
1912051,2.682625
1916049,2.540375
1920053,2.232500
1924054,1.702250
1928049,1.332000
1932054,1.332000
1936053,1.412000
1940053,1.565625
1944053,1.474875
1948053,1.434375
1952054,1.556000
1956052,1.549000
1960053,1.549000
1964055,1.492625
1968054,1.608500
1972054,1.666625
1976054,1.518375
1980052,1.486625
1984081,1.631000
1988055,1.631000
1992049,1.628000
1996059,1.517125
2000069,1.591125
2004056,1.704750
2008054,1.611375
2012050,1.611375
2016057,1.542375
2020052,1.660250
2024053,1.683125
2028050,1.579375
2032060,1.611750
2036053,1.701125
2040054,1.701125
2044057,1.629375
2048058,1.585000
2052053,1.699750
2056054,1.711625
2060060,1.578000
2064058,1.616875
2068053,1.616875
2072053,1.749375
2076058,1.687250
2080057,1.594000
2084090,1.716750
2088052,1.796375
2092059,1.688625
2096058,1.688625
2100053,1.689250
2104056,1.819000
2108051,1.772750
2112053,1.661750
2116058,1.754875
2120057,1.849000
2124053,1.849000
2128051,1.727625
2132056,1.684125
2136057,1.815500
2140052,1.789625
2144053,1.650625
2148058,1.707000
2152054,1.707000
2156052,1.812750
2160053,1.722500
2164053,1.644500
2168059,1.743250
2172051,1.736250
2176054,1.736250
2180058,1.583750
2184070,1.608875
2188053,1.712500
2192053,1.623375
2196060,1.538000
2200057,1.636375
2204053,1.636375
2208059,1.650375
2212053,1.512000
2216051,1.529125
2220054,1.650500
2224058,1.572875
2228053,1.474875
2232053,1.474875
2236052,1.590750
2240053,1.651125
2244055,1.522000
2248054,1.511375
2252053,1.641375
2256054,1.604500
2260053,1.604500
2264055,1.488625
2268056,1.571125
2272054,1.660125
2276054,1.544000
2280051,1.509750
2284082,1.655125
2288054,1.655125
2292054,1.648875
2296054,1.519250
2300054,1.574875
2304054,1.679125
2308055,1.587125
2312054,1.527375
2316054,1.527375
2320055,1.644750
2324052,1.651375
2328053,1.524625
2332053,1.571375
2336053,1.695250
2340053,1.695250
2344052,1.597250
2348051,1.486750
2352053,1.600875
2356054,1.662125
2360054,1.537500
